CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,DiscountApplied,PromoCodeUsed,PreviousPurchases,PaymentMethod,FrequencyOfPurchases,Age_Group
18,19,Female,Curtains,Sports,163.38,Houston,S,Green,Summer,4,No,Standard,Yes,Yes,14,Cash,Fortnightly,"below 20"
19,41,Female,Bag,Clothing,411.74,Miami,L,Red,Winter,2,Yes,Standard,Yes,Yes,8,PayPal,Weekly,40s
20,61,Male,Shoes,Sports,281.43,"Los Angeles",M,Black,Winter,3,Yes,Express,Yes,Yes,4,UPI,Fortnightly,60+
21,47,Female,Watch,Clothing,230.79,Houston,L,Black,Winter,5,Yes,Standard,No,Yes,11,"Debit Card",Fortnightly,40s
22,55,Male,Curtains,Electronics,149.91,"Los Angeles",S,White,Winter,3,No,Express,Yes,Yes,3,Cash,Weekly,50s
23,19,Female,Football,"Home Decor",156.04,"Los Angeles",S,Green,Winter,3,Yes,Express,No,Yes,11,"Credit Card",Monthly,"below 20"
24,38,Male,Curtains,Electronics,197.72,"Los Angeles",XL,Red,Summer,3,No,Express,No,No,5,Cash,Monthly,30s
25,50,Male,T-Shirt,Electronics,419.43,"New York",S,Green,Spring,5,Yes,Express,No,Yes,0,UPI,Fortnightly,50s
26,29,Male,Watch,Clothing,483.93,Houston,S,White,Summer,4,No,Standard,Yes,Yes,9,"Debit Card",Monthly,20s
27,39,Male,T-Shirt,Sports,224.94,"Los Angeles",S,White,Summer,1,No,Standard,Yes,Yes,0,Cash,Monthly,30s
28,61,Male,Curtains,Accessories,202.74,"New York",M,Black,Winter,2,No,Standard,No,No,4,Cash,Fortnightly,60+
29,42,Female,Bag,Clothing,424.81,"New York",L,Blue,Spring,2,Yes,Standard,Yes,Yes,4,PayPal,Monthly,40s
30,44,Female,Phone,Accessories,219.18,Chicago,L,Red,Winter,3,No,Express,No,No,10,PayPal,Fortnightly,40s
31,59,Female,Shoes,Electronics,280.49,Chicago,M,Red,Summer,4,Yes,Standard,No,Yes,8,UPI,Weekly,50s
32,45,Male,Watch,Accessories,123.16,Houston,M,Blue,Spring,5,Yes,Express,Yes,No,0,"Credit Card",Monthly,40s
33,33,Female,Phone,Sports,374.32,Chicago,M,White,Fall,1,Yes,Standard,Yes,No,2,"Credit Card",Weekly,30s
34,32,Male,Curtains,Clothing,270.67,Houston,L,Green,Winter,1,No,Standard,No,No,2,"Debit Card",Weekly,30s
35,64,Male,Shoes,Sports,406.43,"New York",L,Red,Fall,3,Yes,Express,No,No,3,UPI,Fortnightly,60+
36,61,Female,Laptop,Sports,392.56,"New York",S,Blue,Fall,3,No,Express,Yes,No,11,"Credit Card",Monthly,60+
37,20,Female,Phone,Clothing,115.35,Houston,L,Black,Fall,5,Yes,Express,Yes,Yes,12,Cash,Monthly,20s
38,54,Male,Phone,Sports,360.66,Chicago,XL,Black,Fall,5,Yes,Standard,Yes,Yes,6,UPI,Monthly,50s
39,24,Male,Curtains,"Home Decor",402.03,Chicago,L,White,Spring,5,Yes,Express,No,Yes,14,Cash,Monthly,20s
40,38,Female,Football,"Home Decor",179.59,Houston,M,Red,Winter,3,Yes,Standard,No,No,6,"Debit Card",Fortnightly,30s
41,26,Female,Curtains,"Home Decor",94.58,Miami,L,Green,Spring,4,Yes,Express,No,No,14,UPI,Weekly,20s
42,56,Female,Phone,Accessories,11.29,Chicago,S,Red,Winter,3,Yes,Standard,Yes,No,9,"Debit Card",Monthly,50s
43,35,Female,Shoes,Sports,230.94,"Los Angeles",L,Black,Winter,3,Yes,Express,No,No,4,PayPal,Monthly,30s
44,21,Male,Bag,Clothing,182.69,Chicago,M,Red,Winter,1,No,Express,No,Yes,13,"Debit Card",Fortnightly,20s
45,42,Female,Football,Clothing,281.91,Miami,XL,Black,Spring,5,Yes,Express,No,No,8,PayPal,Monthly,40s
46,31,Female,Curtains,Accessories,102.14,"New York",M,Blue,Summer,2,Yes,Express,Yes,Yes,6,UPI,Monthly,30s
47,26,Female,Bag,Clothing,431.24,"New York",XL,Blue,Fall,5,No,Standard,No,No,1,Cash,Weekly,20s
48,43,Male,Watch,"Home Decor",136.30,"New York",S,Black,Summer,4,No,Standard,Yes,No,11,Cash,Monthly,40s
49,19,Male,Curtains,Sports,120.95,Chicago,S,Green,Summer,4,No,Standard,No,No,2,Cash,Monthly,"below 20"
50,37,Male,Phone,Clothing,245.55,"New York",L,Green,Summer,5,Yes,Standard,No,No,10,"Debit Card",Weekly,30s
51,45,Male,Bag,Clothing,254.44,Miami,S,Red,Fall,5,No,Express,Yes,No,6,UPI,Monthly,40s
52,64,Female,Phone,Electronics,115.39,Miami,S,Black,Summer,3,Yes,Express,Yes,Yes,4,UPI,Weekly,60+
53,24,Male,Laptop,Electronics,143.21,Chicago,M,White,Fall,2,No,Standard,Yes,No,6,PayPal,Fortnightly,20s
54,61,Female,Bag,Electronics,93.16,"Los Angeles",M,Green,Fall,3,Yes,Standard,No,Yes,8,UPI,Weekly,60+
55,25,Female,Bag,Sports,362.05,Chicago,L,Green,Fall,1,No,Standard,Yes,Yes,8,Cash,Weekly,20s
56,64,Female,Curtains,"Home Decor",387.34,"New York",L,Blue,Winter,1,Yes,Standard,No,No,2,UPI,Monthly,60+
57,52,Female,Phone,"Home Decor",236.54,Chicago,L,Green,Winter,4,Yes,Standard,No,No,7,PayPal,Monthly,50s
58,31,Male,Watch,"Home Decor",359.90,Miami,L,Green,Summer,4,Yes,Express,Yes,No,12,UPI,Monthly,30s
59,34,Male,T-Shirt,Sports,370.61,Chicago,M,Green,Winter,2,No,Express,Yes,No,5,UPI,Monthly,30s
60,53,Male,Football,Sports,77.76,Chicago,L,Black,Fall,4,No,Standard,Yes,No,12,Cash,Weekly,50s
61,57,Female,T-Shirt,Electronics,483.43,"Los Angeles",L,Black,Winter,1,No,Standard,Yes,No,3,UPI,Fortnightly,50s
62,21,Female,Football,Clothing,412.31,Miami,S,Blue,Fall,2,No,Express,No,Yes,14,"Debit Card",Monthly,20s
63,19,Female,Watch,Accessories,110.20,Houston,L,Red,Spring,1,No,Standard,No,Yes,3,PayPal,Weekly,"below 20"
64,23,Female,Bag,Accessories,101.22,Houston,XL,Green,Winter,5,Yes,Standard,Yes,No,3,PayPal,Fortnightly,20s
65,59,Female,Bag,Clothing,71.57,Miami,S,Red,Summer,5,No,Express,Yes,No,6,PayPal,Fortnightly,50s
66,21,Male,Curtains,Electronics,77.81,Houston,M,Black,Spring,2,Yes,Express,No,Yes,5,UPI,Fortnightly,20s
67,46,Female,Laptop,Clothing,376.60,"New York",XL,Green,Spring,3,Yes,Express,No,Yes,1,"Debit Card",Weekly,40s
68,35,Male,Phone,Clothing,240.13,Houston,L,Red,Winter,4,Yes,Standard,Yes,Yes,4,PayPal,Monthly,30s
69,43,Female,Phone,Accessories,393.64,"New York",S,Red,Winter,2,Yes,Standard,No,No,4,"Credit Card",Weekly,40s
70,61,Female,Phone,Electronics,375.66,Miami,L,White,Summer,4,No,Express,No,Yes,5,Cash,Monthly,60+
71,51,Male,Curtains,Sports,306.26,Houston,S,Black,Spring,1,No,Standard,No,No,6,"Credit Card",Fortnightly,50s
72,27,Male,Football,Accessories,346.32,Houston,L,Blue,Fall,3,No,Standard,No,No,11,"Credit Card",Fortnightly,20s
73,53,Female,Bag,Sports,18.99,"New York",XL,Blue,Winter,4,No,Standard,No,Yes,10,PayPal,Weekly,50s
74,31,Female,Watch,Electronics,162.77,"New York",M,White,Spring,5,No,Standard,No,Yes,7,"Credit Card",Fortnightly,30s
75,48,Female,Phone,Clothing,322.53,Chicago,XL,Red,Spring,5,No,Standard,No,Yes,11,"Credit Card",Weekly,40s
76,32,Female,T-Shirt,"Home Decor",14.58,"Los Angeles",XL,White,Fall,1,Yes,Express,No,No,9,"Debit Card",Monthly,30s
77,25,Male,Phone,"Home Decor",26.16,Houston,M,White,Spring,2,No,Standard,Yes,No,13,Cash,Fortnightly,20s
78,31,Female,Bag,Electronics,427.43,"Los Angeles",S,Black,Winter,4,Yes,Express,No,Yes,14,UPI,Monthly,30s
79,40,Male,Curtains,"Home Decor",345.17,"Los Angeles",S,Green,Fall,1,Yes,Express,Yes,No,7,PayPal,Fortnightly,40s
80,57,Female,Watch,Sports,140.03,Houston,M,Red,Winter,5,Yes,Standard,Yes,Yes,10,PayPal,Monthly,50s
81,38,Male,Laptop,"Home Decor",347.10,"New York",L,Blue,Summer,5,Yes,Express,Yes,No,4,"Credit Card",Fortnightly,30s
82,33,Male,Watch,Electronics,398.30,Chicago,S,Blue,Spring,5,No,Express,Yes,Yes,1,UPI,Monthly,30s
83,62,Female,T-Shirt,Electronics,160.33,Miami,XL,White,Winter,3,No,Standard,Yes,No,9,UPI,Fortnightly,60+
84,35,Male,Phone,Sports,27.66,Houston,M,White,Winter,3,Yes,Express,No,Yes,7,UPI,Weekly,30s
85,64,Female,Phone,"Home Decor",467.06,Houston,XL,White,Summer,5,No,Standard,Yes,No,5,PayPal,Monthly,60+
86,41,Male,Shoes,"Home Decor",179.14,Miami,S,Red,Spring,2,Yes,Standard,No,No,2,PayPal,Monthly,40s
87,43,Female,Football,Clothing,62.18,"Los Angeles",M,White,Winter,3,Yes,Express,Yes,No,3,"Debit Card",Weekly,40s
88,42,Male,T-Shirt,Accessories,251.01,Chicago,M,White,Fall,4,Yes,Standard,No,Yes,11,PayPal,Weekly,40s
89,62,Female,Shoes,Electronics,386.55,"Los Angeles",S,Green,Winter,3,Yes,Express,No,No,0,PayPal,Weekly,60+
90,58,Female,Watch,Clothing,118.61,Miami,S,Red,Winter,4,No,Express,Yes,No,2,"Debit Card",Fortnightly,50s
91,46,Male,Laptop,Electronics,142.05,Miami,M,Black,Winter,3,Yes,Standard,No,Yes,3,PayPal,Weekly,40s
92,32,Male,Football,Clothing,128.93,Chicago,L,Black,Winter,5,No,Standard,Yes,Yes,1,"Credit Card",Fortnightly,30s
93,62,Male,T-Shirt,Accessories,495.92,Miami,M,Green,Spring,4,Yes,Standard,No,No,13,"Credit Card",Fortnightly,60+
94,18,Male,Phone,Clothing,106.73,Miami,L,Blue,Winter,2,No,Standard,No,No,11,"Debit Card",Weekly,"below 20"
95,42,Female,Watch,Electronics,292.00,Chicago,XL,Black,Summer,3,No,Standard,Yes,Yes,5,"Debit Card",Weekly,40s
96,24,Male,T-Shirt,"Home Decor",463.38,Houston,L,Red,Winter,3,No,Standard,No,No,7,"Credit Card",Fortnightly,20s
97,26,Female,Phone,Electronics,81.98,"Los Angeles",L,Blue,Fall,5,Yes,Standard,No,No,11,UPI,Monthly,20s
98,41,Male,Bag,Sports,485.72,Houston,S,White,Fall,4,Yes,Standard,No,Yes,5,PayPal,Monthly,40s
99,18,Female,Football,Sports,474.26,Houston,M,Red,Winter,5,No,Standard,No,Yes,9,Cash,Weekly,"below 20"
100,61,Female,Bag,Sports,443.44,"Los Angeles",XL,Blue,Winter,4,No,Standard,No,Yes,2,Cash,Monthly,60+
101,25,Female,Bag,Sports,115.13,Houston,M,Black,Summer,3,Yes,Express,No,No,8,"Debit Card",Fortnightly,20s
102,41,Female,Phone,Accessories,320.69,Chicago,L,White,Summer,3,No,Express,Yes,No,13,Cash,Monthly,40s
103,28,Male,Laptop,"Home Decor",382.84,"Los Angeles",L,White,Spring,3,No,Standard,No,Yes,3,UPI,Fortnightly,20s
104,34,Male,Watch,"Home Decor",493.15,"New York",L,Red,Spring,3,No,Standard,Yes,Yes,13,Cash,Weekly,30s
105,25,Female,Curtains,Electronics,98.41,Houston,M,White,Fall,1,Yes,Standard,No,No,5,"Credit Card",Weekly,20s
106,52,Male,Phone,Clothing,385.35,Miami,L,Blue,Winter,3,Yes,Standard,Yes,Yes,3,"Debit Card",Monthly,50s
107,52,Male,Laptop,Electronics,176.01,"Los Angeles",M,Green,Winter,3,Yes,Standard,No,No,14,Cash,Weekly,50s
108,50,Female,Curtains,Electronics,96.06,"New York",XL,Black,Summer,4,Yes,Express,Yes,Yes,3,PayPal,Weekly,50s
109,22,Male,Watch,Electronics,216.47,Miami,XL,Red,Summer,3,Yes,Standard,No,Yes,10,"Debit Card",Fortnightly,20s
110,59,Male,Bag,Electronics,398.98,"New York",M,Green,Spring,3,Yes,Standard,Yes,No,1,UPI,Fortnightly,50s
111,56,Male,Football,"Home Decor",237.78,Houston,XL,Green,Spring,4,No,Express,Yes,No,9,"Credit Card",Fortnightly,50s
112,58,Female,Football,Clothing,273.39,Miami,S,Red,Fall,3,No,Standard,Yes,Yes,1,Cash,Fortnightly,50s
113,45,Male,Watch,Electronics,497.63,Houston,L,Blue,Summer,3,No,Standard,No,No,1,"Credit Card",Weekly,40s
114,24,Female,Watch,"Home Decor",205.56,Miami,L,Black,Winter,5,No,Express,No,No,1,UPI,Fortnightly,20s
115,26,Male,T-Shirt,Electronics,311.55,"Los Angeles",L,Red,Summer,1,No,Standard,No,Yes,7,Cash,Fortnightly,20s
116,25,Male,Laptop,Sports,188.97,Chicago,S,Green,Summer,4,No,Standard,Yes,No,14,"Debit Card",Fortnightly,20s
117,29,Male,Bag,Electronics,202.46,Chicago,L,Green,Summer,5,Yes,Express,No,No,9,"Debit Card",Monthly,20s
118,51,Female,Laptop,Electronics,350.86,"New York",M,Red,Spring,2,No,Standard,Yes,No,3,PayPal,Fortnightly,50s
119,50,Female,Watch,Accessories,469.56,Miami,L,Green,Winter,2,No,Express,No,No,3,UPI,Weekly,50s
120,40,Male,Shoes,Sports,275.76,Houston,M,Red,Winter,1,Yes,Standard,Yes,Yes,9,Cash,Weekly,40s
121,41,Female,Shoes,Clothing,386.52,"Los Angeles",XL,Red,Spring,2,Yes,Express,Yes,Yes,9,"Credit Card",Fortnightly,40s
122,54,Male,Curtains,Electronics,53.71,"Los Angeles",M,Black,Spring,1,No,Express,Yes,Yes,10,"Credit Card",Monthly,50s
123,52,Female,Curtains,Clothing,113.47,"Los Angeles",M,Red,Winter,2,No,Standard,No,Yes,13,Cash,Monthly,50s
124,61,Female,Shoes,Sports,256.04,Chicago,M,Green,Fall,2,No,Express,Yes,Yes,2,UPI,Monthly,60+
125,57,Male,Watch,Electronics,19.81,Houston,L,White,Summer,5,Yes,Express,No,No,4,UPI,Monthly,50s
126,39,Male,Watch,Accessories,133.90,"Los Angeles",S,Black,Winter,2,Yes,Standard,Yes,No,3,"Credit Card",Fortnightly,30s
127,44,Male,Curtains,"Home Decor",263.53,"Los Angeles",S,Green,Spring,1,Yes,Express,No,No,6,Cash,Fortnightly,40s
128,52,Male,Phone,Accessories,17.33,"New York",M,Green,Winter,3,Yes,Express,Yes,Yes,9,Cash,Weekly,50s
129,18,Female,Watch,Accessories,139.63,Miami,L,Black,Summer,3,No,Standard,Yes,Yes,6,"Credit Card",Weekly,"below 20"
130,52,Female,Shoes,"Home Decor",261.88,Miami,S,Black,Winter,3,No,Express,Yes,Yes,5,Cash,Monthly,50s
131,54,Female,Laptop,"Home Decor",290.84,Miami,XL,Green,Spring,1,No,Standard,No,No,6,Cash,Monthly,50s
132,64,Male,Watch,"Home Decor",463.62,"New York",XL,White,Fall,1,Yes,Express,Yes,No,11,"Debit Card",Weekly,60+
133,31,Male,Bag,Electronics,326.22,Chicago,L,Blue,Spring,3,Yes,Express,Yes,No,6,"Debit Card",Weekly,30s
134,20,Female,Watch,Clothing,213.22,"New York",XL,Green,Fall,2,No,Express,No,Yes,12,PayPal,Monthly,20s
135,18,Male,Phone,Clothing,465.87,"Los Angeles",XL,Black,Summer,3,No,Express,No,Yes,7,PayPal,Weekly,"below 20"
136,22,Female,Curtains,"Home Decor",394.59,Houston,XL,Red,Spring,4,No,Standard,Yes,No,10,UPI,Monthly,20s
137,43,Female,Watch,Accessories,108.00,"Los Angeles",S,Red,Winter,1,Yes,Express,No,No,12,"Debit Card",Fortnightly,40s
138,31,Female,Football,Sports,74.11,"Los Angeles",XL,Black,Spring,4,No,Standard,No,No,0,"Debit Card",Monthly,30s
139,56,Female,T-Shirt,"Home Decor",341.15,Houston,M,Black,Spring,4,Yes,Standard,Yes,Yes,14,"Debit Card",Fortnightly,50s
140,44,Female,Shoes,Accessories,284.34,Miami,M,Blue,Summer,1,No,Express,No,Yes,2,"Debit Card",Fortnightly,40s
141,26,Male,Bag,Accessories,396.94,"New York",XL,Black,Fall,3,No,Standard,Yes,No,11,UPI,Fortnightly,20s
142,32,Male,Bag,Electronics,372.01,Chicago,M,Red,Fall,5,Yes,Express,Yes,No,2,"Credit Card",Weekly,30s
143,32,Male,Bag,Electronics,316.35,"Los Angeles",S,White,Winter,4,Yes,Standard,Yes,Yes,4,UPI,Weekly,30s
144,43,Female,Football,Clothing,493.33,"Los Angeles",L,Black,Spring,3,Yes,Express,No,No,9,"Credit Card",Monthly,40s
145,59,Female,Bag,Clothing,271.46,Chicago,M,Blue,Summer,5,No,Standard,No,No,13,PayPal,Fortnightly,50s
146,30,Female,Bag,Sports,65.42,"New York",XL,White,Fall,4,Yes,Standard,Yes,Yes,12,"Debit Card",Monthly,30s
147,49,Female,Curtains,Sports,415.85,"Los Angeles",L,Blue,Winter,3,No,Express,Yes,No,12,"Credit Card",Fortnightly,40s
148,56,Male,Laptop,Sports,133.41,Chicago,L,White,Fall,4,Yes,Express,No,No,6,UPI,Fortnightly,50s
149,49,Male,T-Shirt,Sports,390.88,"Los Angeles",XL,Black,Winter,3,No,Standard,No,No,14,"Credit Card",Monthly,40s
150,21,Female,Football,Accessories,478.98,Miami,M,Red,Fall,2,Yes,Standard,Yes,Yes,9,Cash,Monthly,20s
151,47,Female,T-Shirt,Accessories,351.43,Miami,S,White,Winter,2,Yes,Standard,Yes,No,5,PayPal,Monthly,40s
152,54,Female,Shoes,Clothing,302.05,"Los Angeles",M,Green,Fall,1,No,Standard,Yes,No,3,PayPal,Monthly,50s
153,40,Male,Curtains,Electronics,235.59,"Los Angeles",M,Blue,Fall,5,Yes,Standard,No,Yes,5,"Debit Card",Weekly,40s
154,56,Male,Watch,Electronics,188.56,Miami,S,White,Spring,4,No,Standard,Yes,No,6,"Debit Card",Fortnightly,50s
155,62,Male,Laptop,"Home Decor",182.97,"Los Angeles",L,Blue,Winter,4,No,Express,No,No,3,UPI,Fortnightly,60+
156,32,Female,Curtains,Accessories,321.82,"New York",S,Red,Winter,3,No,Express,Yes,Yes,10,"Credit Card",Weekly,30s
157,60,Female,T-Shirt,Sports,378.12,"New York",S,Blue,Spring,5,Yes,Express,No,No,7,Cash,Fortnightly,60+
158,46,Male,Football,Sports,342.47,Houston,XL,Blue,Spring,4,No,Standard,No,No,4,PayPal,Weekly,40s
159,53,Female,Shoes,"Home Decor",107.22,"New York",XL,Green,Fall,5,Yes,Standard,Yes,No,2,"Credit Card",Fortnightly,50s
160,30,Male,Shoes,Electronics,252.05,"Los Angeles",M,Blue,Fall,5,Yes,Express,No,Yes,1,Cash,Weekly,30s
161,49,Female,Curtains,Sports,397.90,"Los Angeles",XL,White,Fall,2,No,Express,No,No,0,"Credit Card",Weekly,40s
162,24,Male,Watch,Electronics,243.09,Chicago,S,Blue,Spring,4,Yes,Express,Yes,Yes,14,"Debit Card",Fortnightly,20s
163,39,Female,Football,"Home Decor",272.95,"New York",S,Black,Fall,4,No,Express,No,Yes,3,PayPal,Fortnightly,30s
164,45,Male,Watch,Electronics,387.86,Miami,XL,Blue,Spring,1,No,Express,No,Yes,1,Cash,Fortnightly,40s
165,19,Male,Watch,Electronics,334.02,Miami,XL,Black,Fall,5,No,Express,Yes,Yes,11,"Debit Card",Monthly,"below 20"
166,59,Male,Bag,Electronics,210.58,Houston,XL,Blue,Spring,3,No,Express,No,Yes,2,UPI,Fortnightly,50s
167,62,Male,Football,Sports,448.75,Chicago,S,Blue,Winter,2,No,Express,No,Yes,0,UPI,Fortnightly,60+
168,23,Male,T-Shirt,Clothing,89.66,Miami,L,White,Summer,1,No,Standard,Yes,Yes,14,"Debit Card",Fortnightly,20s
169,45,Male,Curtains,Accessories,497.80,Houston,L,Black,Fall,2,Yes,Express,Yes,No,13,Cash,Monthly,40s
170,45,Female,Curtains,Electronics,68.24,"New York",XL,Black,Fall,3,Yes,Express,Yes,No,12,Cash,Fortnightly,40s
171,61,Female,Bag,Electronics,17.33,Chicago,M,Green,Spring,1,Yes,Express,No,Yes,5,PayPal,Weekly,60+
172,61,Female,Phone,Electronics,446.11,Chicago,M,Blue,Winter,2,Yes,Standard,Yes,No,3,"Debit Card",Weekly,60+
173,37,Male,Curtains,Clothing,130.03,"Los Angeles",L,Blue,Winter,3,Yes,Express,Yes,No,4,UPI,Monthly,30s
174,47,Male,Shoes,"Home Decor",367.55,"New York",XL,White,Fall,1,No,Standard,Yes,No,14,"Debit Card",Monthly,40s
175,28,Female,T-Shirt,Sports,407.40,Chicago,S,Green,Spring,3,Yes,Standard,Yes,Yes,7,"Credit Card",Monthly,20s
176,45,Male,Football,Clothing,430.90,Houston,M,Green,Spring,1,No,Standard,Yes,No,10,Cash,Monthly,40s
177,42,Male,Curtains,Electronics,495.88,Miami,M,White,Summer,4,Yes,Standard,Yes,Yes,3,"Credit Card",Monthly,40s
178,56,Male,T-Shirt,Clothing,154.08,"New York",S,Black,Winter,4,Yes,Standard,Yes,Yes,5,UPI,Fortnightly,50s
179,50,Male,Bag,Clothing,358.02,"New York",S,Red,Summer,2,No,Express,No,No,2,Cash,Weekly,50s
180,18,Male,Curtains,Clothing,66.55,Chicago,XL,White,Winter,5,Yes,Express,No,Yes,7,UPI,Weekly,"below 20"
181,44,Female,Football,"Home Decor",209.34,Chicago,S,Black,Fall,5,Yes,Standard,Yes,Yes,12,UPI,Fortnightly,40s
182,30,Female,Laptop,Accessories,425.51,Chicago,S,Green,Fall,3,Yes,Standard,Yes,Yes,2,UPI,Monthly,30s
183,58,Female,Football,Sports,190.15,Houston,S,White,Spring,1,No,Standard,No,No,14,PayPal,Fortnightly,50s
184,20,Female,Football,"Home Decor",299.64,"Los Angeles",L,Red,Spring,4,Yes,Standard,Yes,No,14,UPI,Monthly,20s
185,56,Female,Football,"Home Decor",256.85,Chicago,S,Blue,Spring,5,No,Standard,No,No,6,UPI,Weekly,50s
186,23,Male,Curtains,Accessories,326.52,"Los Angeles",M,White,Winter,4,Yes,Express,Yes,Yes,6,"Credit Card",Weekly,20s
187,25,Male,Phone,"Home Decor",486.72,"Los Angeles",XL,Red,Spring,3,No,Standard,No,No,14,"Credit Card",Monthly,20s
188,44,Male,Football,Clothing,37.31,"New York",XL,Red,Fall,3,Yes,Standard,Yes,No,2,"Credit Card",Fortnightly,40s
189,26,Male,Bag,Clothing,291.24,Miami,XL,White,Summer,1,No,Standard,No,No,2,Cash,Monthly,20s
190,54,Female,Shoes,Electronics,432.88,Miami,L,Black,Fall,5,No,Express,No,Yes,9,PayPal,Monthly,50s
191,50,Female,Shoes,"Home Decor",245.88,Houston,M,White,Fall,3,Yes,Express,Yes,Yes,9,Cash,Weekly,50s
192,59,Female,Bag,Electronics,48.48,Houston,S,Green,Fall,3,Yes,Express,No,No,11,PayPal,Monthly,50s
193,61,Male,T-Shirt,Sports,284.66,Miami,M,Red,Summer,4,Yes,Standard,No,Yes,10,PayPal,Fortnightly,60+
194,41,Female,Phone,Clothing,172.72,Miami,XL,Red,Fall,2,No,Standard,Yes,No,13,"Debit Card",Monthly,40s
195,32,Male,T-Shirt,Sports,85.92,"New York",S,Blue,Winter,5,Yes,Express,No,No,7,"Debit Card",Weekly,30s
196,49,Female,Bag,Accessories,426.03,"New York",XL,Red,Winter,1,No,Express,No,Yes,10,"Debit Card",Fortnightly,40s
197,49,Female,Shoes,Clothing,265.58,Miami,XL,Blue,Summer,1,Yes,Express,No,Yes,14,PayPal,Fortnightly,40s
198,41,Male,Watch,Sports,467.31,Chicago,XL,Red,Winter,4,Yes,Standard,No,Yes,2,PayPal,Weekly,40s
199,58,Male,Shoes,Accessories,404.95,Chicago,M,Red,Spring,1,No,Standard,Yes,Yes,1,Cash,Weekly,50s
200,29,Female,Laptop,Sports,349.56,"New York",M,White,Winter,3,Yes,Express,No,Yes,4,PayPal,Monthly,20s
201,56,Female,Football,Accessories,12.46,"Los Angeles",XL,White,Fall,5,Yes,Express,No,Yes,10,UPI,Weekly,50s
202,19,Male,Watch,Accessories,219.63,Miami,XL,Green,Winter,1,Yes,Standard,No,No,6,UPI,Weekly,"below 20"
203,20,Female,Shoes,Clothing,106.77,Houston,S,Black,Spring,5,No,Express,No,No,7,PayPal,Weekly,20s
204,54,Female,Curtains,Electronics,456.29,Chicago,XL,Green,Spring,1,No,Standard,Yes,Yes,0,UPI,Weekly,50s
205,34,Male,Curtains,Accessories,95.55,"Los Angeles",XL,Red,Spring,2,No,Express,No,Yes,11,PayPal,Fortnightly,30s
206,19,Female,T-Shirt,Accessories,150.17,Chicago,XL,Green,Fall,2,No,Standard,Yes,No,1,"Debit Card",Fortnightly,"below 20"
207,19,Male,Watch,Clothing,263.25,"Los Angeles",XL,White,Spring,5,Yes,Standard,Yes,No,12,PayPal,Fortnightly,"below 20"
208,45,Female,T-Shirt,Electronics,139.05,Miami,M,Red,Fall,2,Yes,Express,No,Yes,6,"Debit Card",Weekly,40s
